Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash
2022-09-27,19221.83984375,20338.455078125,18915.66796875,19110.546875,58571439619,20,-1.1153,6.927333333333333e-05,19044.107421875,-0.0034765856550088917,0
2022-09-28,19104.62109375,19688.34375,18553.296875,19426.720703125,53071298734,20,-1.1356,1.8006666666666665e-05,19044.107421875,-0.019695206777150632,0
2022-09-29,19427.779296875,19589.265625,18924.353515625,19573.05078125,41037843771,22,-0.769,6.669e-05,19044.107421875,-0.027024063100153053,0
2022-09-30,19573.431640625,20109.849609375,19265.662109375,19431.7890625,43975248085,21,-1.1266,0.0001,19044.107421875,-0.019950897952734505,0
2022-10-01,19431.10546875,19471.154296875,19231.08203125,19312.095703125,18719537670,20,-1.0885,6.734333333333334e-05,19044.107421875,-0.013876706359042913,0
2022-10-02,19311.849609375,19370.30859375,18970.62109375,19044.107421875,20765955327,24,-1.0417,5.154000000000001e-05,19051.41796875,0.0003838744821719891,0
2022-10-03,19044.068359375,19653.54296875,19025.2265625,19623.580078125,30484729489,24,-0.3973,7.437333333333334e-05,19051.41796875,-0.029156866743841835,0
2022-10-04,19623.583984375,20380.34375,19523.83984375,20336.84375,35887278685,20,-0.5404,0.0001,19051.41796875,-0.06320674914218191,0
2022-10-05,20335.900390625,20343.748046875,19801.80078125,20160.716796875,33223790572,25,-0.2899,0.0001,19051.41796875,-0.05502278710134682,0
2022-10-06,20161.0390625,20408.392578125,19900.087890625,19955.443359375,34711412966,26,-1.8715,0.0001,19051.41796875,-0.04530219521283108,0
2022-10-07,19957.55859375,20041.0859375,19395.79296875,19546.849609375,29227315390,23,-1.0882,9.171e-05,19051.41796875,-0.025345856264601462,0
2022-10-08,19546.328125,19601.6953125,19299.4140625,19416.568359375,16437423167,24,-1.2422,5.114666666666666e-05,19051.41796875,-0.018806123917808195,0
2022-10-09,19417.478515625,19542.5390625,19349.259765625,19446.42578125,16837262532,22,-0.7987,2.324333333333333e-05,19051.41796875,-0.020312617698665304,0
2022-10-10,19446.416015625,19515.466796875,19102.978515625,19141.484375,27425022774,22,-0.9644,7.436666666666667e-05,19051.41796875,-0.0047052989457616184,0
